数据源	文本序号	文本	Opinion 列表	Opinion：ACOS列表
laptop_quad_dev	1.0	this unit is ` ` pretty ` ` and stylish , so my high school daughter was attracted to it for that reason .	5,6; 9,10; 	5,6:[1,2 LAPTOP#DESIGN_FEATURES 2 5,6]; 9,10:[1,2 LAPTOP#DESIGN_FEATURES 2 9,10]; 
laptop_quad_dev	2.0	for now i ' m okay with upping the experience & device to 3 out of 5 stars .	-1,-1; 	-1,-1:[11,12 LAPTOP#GENERAL 1 -1,-1]; 
laptop_quad_dev	3	seems unlikely but whatever , i ' ll go with it .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 
laptop_quad_dev	4.0	this version has been my least favorite version i ' ve had for the following reasons listed bellow the pros .	5,7; 	5,7:[7,8 LAPTOP#GENERAL 0 5,7]; 
laptop_quad_dev	5.0	- biggest disappointment is the track pad .	2,3; 	2,3:[5,7 HARDWARE#GENERAL 0 2,3]; 
laptop_quad_dev	6.0	should not of bought this chromebook .	-1,-1; 	-1,-1:[5,6 LAPTOP#GENERAL 0 -1,-1]; 
laptop_quad_dev	7.0	after about 5 / 10 minutes of use the screen goes crazy and you have to force to power down and wait to restart .	11,12; 	11,12:[9,10 DISPLAY#OPERATION_PERFORMANCE 0 11,12]; 
laptop_quad_dev	8.0	i can not stand the trackpad or the keyboard keys .	-1,-1; 	-1,-1:[5,6 KEYBOARD#GENERAL 0 -1,-1, 8,10 KEYBOARD#GENERAL 0 -1,-1]; 
laptop_quad_dev	9.0	the keyboard is stiff and unresponsive to my typing at times .	3,4; 5,6; 	3,4:[1,2 KEYBOARD#QUALITY 0 3,4]; 5,6:[1,2 KEYBOARD#QUALITY 0 5,6]; 
laptop_quad_dev	10.0	the chromebook r 11 was hardly used and only a few months old .	-1,-1; 	-1,-1:[1,4 LAPTOP#USABILITY 0 -1,-1]; 
laptop_quad_dev	11.0	one day it just would not power up .	-1,-1; 	-1,-1:[-1,-1 BATTERY#OPERATION_PERFORMANCE 0 -1,-1]; 
laptop_quad_dev	12.0	some apps don ' t work but the play store is still in beta right now	-1,-1; 	-1,-1:[1,2 SOFTWARE#GENERAL 0 -1,-1, 8,10 SOFTWARE#GENERAL 1 -1,-1]; 
laptop_quad_dev	13.0	what really did it was when i tried contacting acer support i was simply told ` ` try a restart ` ` and then ` ` call google , we can ' t help you ` ` .	-1,-1; 	-1,-1:[10,11 SUPPORT#GENERAL 0 -1,-1]; 
laptop_quad_dev	14.0	returning it after one day	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 0 -1,-1]; 
laptop_quad_dev	15.0	but do not dare will only be good for playing games maybe it will get better .	7,8; 	7,8:[12,13 LAPTOP#GENERAL 2 7,8]; 
laptop_quad_dev	16.0	after some use , the battery charge had logically gone down some ( down to about 80 % ) , and so i went back to my office to plug it in .	-1,-1; 	-1,-1:[5,6 BATTERY#OPERATION_PERFORMANCE 1 -1,-1]; 
laptop_quad_dev	17.0	asus customer support was through chat and cumbersome .	7,8; 	7,8:[0,3 SUPPORT#GENERAL 0 7,8]; 
laptop_quad_dev	18.0	i had it on my desk and was watching youtube videos and it went black .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#OPERATION_PERFORMANCE 0 -1,-1]; 
laptop_quad_dev	19.0	the screen is very dim however .	4,5; 	4,5:[1,2 DISPLAY#OPERATION_PERFORMANCE 0 4,5]; 
laptop_quad_dev	20.0	the brand new vivobook is dead in the water !	5,6; 	5,6:[3,4 LAPTOP#QUALITY 0 5,6]; 
laptop_quad_dev	21.0	don ' t buy this machine .	-1,-1; 	-1,-1:[5,6 LAPTOP#GENERAL 0 -1,-1]; 
laptop_quad_dev	22.0	sounds like a good deal for a $ 620 laptop but battery doesn ' t perform as promised i am hardly getting 4 hrs .	3,4; -1,-1; 	3,4:[9,10 LAPTOP#PRICE 2 3,4]; -1,-1:[11,12 BATTERY#OPERATION_PERFORMANCE 0 -1,-1]; 
