数据源	文本序号	文本	Opinion 列表(人工)	Opinion：ACOS列表(人工)	MPQA
laptop_quad_test	1.0	the unit cost $ 275 to start with , so it is not worth repairing .	12,14; 	12,14:[1,2 LAPTOP#PRICE 0 12,14]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	2.0	going from acer 15 to acer 11 was difficult , 11 inches seems too small for me .	8,9; 14,15; 	8,9:[5,7 LAPTOP#DESIGN_FEATURES 0 8,9]; 14,15:[5,7 LAPTOP#DESIGN_FEATURES 0 14,15]; 	{ -1 8,9 5,6 ;}
laptop_quad_test	3.0	also it ' s not a true ssd drive in there but emmc , which makes a difference .	-1,-1; 	-1,-1:[7,9 HARD_DISC#OPERATION_PERFORMANCE 0 -1,-1]; 	{ 1 -1,-1 12,13 ;}
laptop_quad_test	4.0	the computer has difficulty switching between tablet and computer .	3,4; 	3,4:[1,2 LAPTOP#USABILITY 0 3,4]; 	{ -1 3,4 1,2 ;}
laptop_quad_test	5.0	2 / 28 / 18 - a couple days ago i updated the chrome os .	-1,-1; 	-1,-1:[13,15 OS#GENERAL 1 -1,-1]; 	{ 0 -1,-1 13,15 ;}
laptop_quad_test	6.0	it ' s just that chrome doesn ' t work the same with a chromebook as it does with windows .	-1,-1; 	-1,-1:[5,6 OS#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 5,6 ;}
laptop_quad_test	7.0	hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .	16,17; 18,19; 	16,17:[-1,-1 LAPTOP#GENERAL 0 16,17]; 18,19:[-1,-1 LAPTOP#GENERAL 0 18,19]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	8.0	bought this last year on july .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	9.0	i rarely use the keyboard .	1,2; 	1,2:[4,5 KEYBOARD#GENERAL 0 1,2]; 	{ 0 -1,-1 4,5 ;}
laptop_quad_test	10.0	- great price for a touch screen chrome book	1,2; 	1,2:[5,7 LAPTOP#PRICE 2 1,2]; 	{ 1 1,2 -1,-1 ;}
laptop_quad_test	11.0	it is glitchy , and barely usable .	2,3; 5,7; 	2,3:[-1,-1 HARDWARE#OPERATION_PERFORMANCE 0 2,3]; 5,7:[-1,-1 HARDWARE#OPERATION_PERFORMANCE 0 5,7]; 	{ -1 5,6 -1,-1 ;}
laptop_quad_test	12.0	i ordered one , the touch pad failed to work consistently .	7,8; 	7,8:[5,7 HARDWARE#OPERATION_PERFORMANCE 0 7,8]; 	{ -1 -1,-1 5,7 ;}
laptop_quad_test	13.0	i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !	25,26; 	25,26:[20,21 KEYBOARD#GENERAL 0 25,26]; 	{ -1 25,26 20,21 ;}
laptop_quad_test	14.0	i know it only takes a few seconds , but a new device should not be doing this and makes me question if it ' ll get worse in the future .	27,28; 	27,28:[12,13 LAPTOP#GENERAL 0 27,28]; 	{ -1 -1,-1 12,13 ;}
laptop_quad_test	15.0	i also have to press the trackpad very hard for left click ( not as badly as the first unit , though ) , and i lost right click functionality on the track pad 2 days into my voyage with this thing .	-1,-1; 	-1,-1:[32,34 KEYBOARD#USABILITY 0 -1,-1]; 	{ -1 -1,-1 6,7 ; -1 -1,-1 11,12 ;}
laptop_quad_test	16.0	i tried factory resetting after i updated the os , and it still drained 9 % over 8 hours .	-1,-1; 	-1,-1:[8,9 OS#GENERAL 1 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	17.0	hdmi out doesn ' t work right .	-1,-1; 	-1,-1:[0,1 PORTS#QUALITY 0 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	18.0	they had it over a week and then shipped back .	-1,-1; 	-1,-1:[-1,-1 SUPPORT#GENERAL 1 -1,-1]; 	{ -1 -1,-1 -1,-1 ;}
laptop_quad_test	19.0	i was excited to receive this chromebook , only to watch that excitement dissipate within mere hours as i noticed the touchscreen did n ' t work at all on tablet mode .	-1,-1; 	-1,-1:[21,22 HARDWARE#OPERATION_PERFORMANCE 0 -1,-1]; 	{ -1 -1,-1 21,22 ;}
laptop_quad_test	20.0	clearly there is some kind of major defect here that acer has n ' t resolved .	7,8; 	7,8:[10,11 COMPANY#GENERAL 0 7,8]; 	{ -1 7,8 -1,-1 ;}
laptop_quad_test	21.0	i bought this for my daughter to use to take online classes while she ' s overseas in europe for a year .	-1,-1; 	-1,-1:[-1,-1 LAPTOP#GENERAL 1 -1,-1]; 	{ 0 -1,-1 -1,-1 ;}
laptop_quad_test	22.0	decent sound quality .	0,1; 	0,1:[1,2 MULTIMEDIA_DEVICES#QUALITY 2 0,1]; 	{ 1 0,1 -1,-1 ;}
