the unit cost $ 275 to start with , so it is not worth repairing .	2,3; 12,13
going from acer 15 to acer 11 was difficult , 11 inches seems too small for me .	8,9
also it ' s not a true ssd drive in there but emmc , which makes a difference .	2,4
the computer has difficulty switching between tablet and computer .	3,4
2 / 28 / 18 - a couple days ago i updated the chrome os .	7,8
it ' s just that chrome doesn ' t work the same with a chromebook as it does with windows .	6,9
hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .	13,16
bought this last year on july .	3,4(SPA)
i rarely use the keyboard .	2,3
- great price for a touchscreen chromebook	1,2
it is glitchy , and barely usable .	2,3
i ordered one , the touch pad failed to work consistently .	7,8; 10,11
i often find i ' ve typed an entire sentence ( or more ) with my fingers on the wrong keys , which is very unproductive when trying to take real - time notes in a meeting !	19,20; 25,26; 29,30
i know it only takes a few seconds , but a new device should not be doing this and makes me question if it ' ll get worse in the future .	3,4; 14,15; 27,28
i also have to press the trackpad very hard for left click ( not as badly as the first unit , though ) , and i lost right click functionality on the track pad 2 days into my voyage with this thing .	7,8; 26,27
i tried factory resetting after i updated the os , and it still drained 9 % over 8 hours .	3,4; 12,13
hdmi out doesn ' t work right .	2,5
they had it over a week and then shipped back .	1,2
i was excited to receive this chromebook , only to watch that excitement dissipate within mere hours as i noticed the touchscreen did n ' t work at all on tablet mode .	1,2; 8,9; 23,26
clearly there is some kind of major defect here that acer has n ' t resolved .	0,1; 15,16
i bought this for my daughter to use to take online classes while she ' s overseas in europe for a year .	1,2
decent sound quality .	0,1
flimsy power adapter .	0,1
wi - fi slows down to crowl and speeds back up intermittently .	11,12
regret buying it at times .	0,1
it just turned off and will not turn back on .	3,4
the product is great , but the customer support is horrible .	10,11
called support a second time after 10 minutes of verifying some type of info they told me to call google without even trying to help .	0,1; 15,16; 21,22
but i ' m getting into photography now , and it ' s terrible for loading , storing , and editing pictures .	13,14
i have sent it in twice already and waiting for it to come back .	5,6
the screen looked great .	3,4
no matter how many times i reinserted the charging adapter , i kept getting this message .	12,13
i had no option but to shut down the computer , unplug it , plug it back in , and then reboot .	11,12
it has worked well except for an initial hiccup on turning it on .	2,3
the screen flashes for a second every 30 seconds or so .	2,3
i noticed the battery went down to 67 % for no reason .	5,6
works good but the fan kicks in pretty often , which is to keep the laptop cool but the sound is annoying .	21,22
nano edge display is nice .	4,5
everything was fine and i went out for an hour .	2,3
the audio is almost impossible to hear .	4,5
it is slow to do everything .	2,3
here ' s the kicker : it is doing a terrible job running dragon age .	4,5(SPA); 10,11
it doesn ' t has backlit keyboard : ( typing in low light is such a pain .	1,4
very disappointed in how slow it seems .	1,2
keyboard and mouse pad seem fine , but overall it seems strangely slow .	4,5; 11,12
i have been using this for just 3 months .	2,3
crazy keypad : this issue is even worse .	0,1
overall , the laptop has a solid feel to it .	6,7
this lead me to believe that although i purchased a “ new ” product , they sent me a refurbished one instead .	-1,-1
i ' m out from us , i live in colombia , and maybe i can not return these laptop .	16,17
i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .	21,22; 24,25; 43,46
lightweight .	0,1
yesterday the backlight went out .	3,4
it was brand new out of the box , i ' ve never dropped it .	12,13
now i have to deal with warranty stuff and sending it back etc .	0,1
ram upgrade available	2,3
hard drive upgrade available	1,2
i had issues with the touchpad sticking or not responding to click correctly from the start .	6,7
it ' s still a mainly functional computer , but using it is just not the greatest .	5,6; 14,15
we ' ve had the computer for 5 weeks , used it a total of less than 20 hours , and now it will be gone for 3 weeks .	15,16; 21,22
i send it to asus warranty and now after a week they ' re sending it back stating the no problem was found .	17,18; 20,21
display stop working within 2 months .	1,2
since it came with no user manual , i had to call asus customer support and got someone who knew all about windows 10 software but nothing about my asus notebook .	9,10; 26,27
after reading all the bad reviews , just sent it back for a refund .	13,14(SPA)
all over this asus laptop which has a non - functioning touchpad .	10,11
my screen broke when just putting a textbook on it .	2,3; 5,6
don ' t even bother calling customer support , in my experience , they do you no good .	0,3
keyboard needs to be redesigned entirely .	1,2; 4,5
6 ` ` screen is big enough to read with ease , yet the item itself is light enough to tote to meetings .	10,11; 17,18
